;marca;preço
180;Fonte Carregador Notebook Samsung Rv411, Rv419, Rv415, R440, Rv410, 19v 3.16a, Pino 5.5 X 3.0;R$ 93,98
181;Bateria Para Notebook Toshiba Tecra R940 Pt439a-00r003, 6 Células;R$ 145,46
182;Bateria Para Notebook Toshiba Satellite L500, L505, Pa3534u-1brs - 6 Células;R$ 135,06
183;Bateria Para Notebook Toshiba Satellite L645-s4102 - 6 Células;R$ 174,56
184;Bateria Para Notebook Toshiba Satellite L675d-s7052 - 6 Células;R$ 174,56
185;Bateria Para Notebook Toshiba Satellite M645-s4110 - 6 Células;R$ 174,56
186;Bateria Para Notebook Toshiba Satellite P745 - 6 Células;R$ 174,56
187;Bateria Para Notebook Toshiba Satellite Pro L630/00w - 6 Células;R$ 174,56
188;Tela 15.6 Polegadas Led Para Notebook, Acer Aspire 5750z B156xw02 V.6;R$ 300,13
189;Bateria Para Notebook Toshiba Satellite A665-s6065, 6 Células;R$ 174,56
190;Bateria Para Notebook Toshiba Satellite C650, 6 Células;R$ 174,56
191;Bateria Para Notebook Lenovo Thinkpad T440 | 6 Células;R$ 344,87
192;Bateria Para Notebook Dell Xps L502x;R$ 209,15
193;Bateria Para Notebook Acer Aspire Es1-311 | 2200 Mah 11.4 V;R$ 188,50
194;Bateria Para Notebook Acer Chromebook 15 Cb5-571-c6dl | 2200 Mah 11.4 V;R$ 188,50
195;Bateria Para Notebook Samsung Np Series Np-rv415-ad2br | 4400 Mah 10.8 V;R$ 163,13
196;Bateria Para Notebook Hp Pavilion G62-a | 6600 Mah;R$ 249,16
197;Bateria Para Notebook Hp Pavilion Dv7-4297cl | 6600 Mah;R$ 249,16
198;Fonte Carregador Para Notebook Positivo Sim+ 2550m | 19v 3.42a 65w Pino 5.5 X 2.5 Mm;R$ 63,58
199;Bateria Para Notebook Acer Aspire A315-56-3478 | Lítio-Polegadasímero;R$ 248,62
200;Fonte Para Notebook Positivo N8575 | 19v 3.42a;R$ 66,93
201;Bateria Para Notebook Hp Pavilion 14-b080br | 4 Células;R$ 176,09
202;Bateria Para Notebook Acer Aspire V5-123-12102g50nrr | Preto;R$ 175,13
203;Fonte Para Notebook Acer Aspire V5-123-3728 | 19v 4.74a;R$ 102,38
204;Bateria Para Notebook Hp  15-f019dx | 14.4 V (14.8 V);R$ 242,65
205;Fonte Para Notebook Asus  X450ld | 19v 3.42a;R$ 66,93
206;Tela 15.6 Polegadas, Para Notebook Samsung  Ativ Book 2, LED,  Brilhante - Np270e5g-xd1br;R$ 315,93
207;Bateria Para Notebook Samsung Rv411 9 Células;R$ 287,88
208;Bateria Para Notebook Hp Part Number 776622-001 | 10.95 V;R$ 128,06
209;Fonte Para Notebook Acer Part Number Tj-65-190342 | 19v 3.42a;R$ 73,76
210;Bateria Para Notebook Hp Compaq 2530p  | 6 Células;R$ 228,85
211;Bateria Para Notebook Acer Aspire A315-51-50la | Preto;R$ 229,25
212;Bateria Para Notebook Acer Aspire A315-21-95kf | Preto;R$ 229,25
213;Bateria Para Notebook Acer Aspire E1-410g | 2200 Mah;R$ 141,88
